word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
item,noun,商品；物品,The item is currently out of stock.,此商品目前缺貨。,product; object,sale item,Shopping,Basic
payment,noun,付款；支付,Payment must be made before the order is shipped.,訂單出貨前必須完成付款。,settlement; fee,make a payment,Shopping,Basic
delivery,noun,配送；交貨,Free delivery is available for orders over one thousand dollars.,訂單超過一千元可享免費配送。,shipment; transport,delivery service,Shopping,Basic
available,adjective,可取得的；有空的,The product is available in three colors.,這項產品有三種顏色可供選擇。,obtainable; accessible,available online,Shopping,Basic
catalog,noun,型錄；目錄,The new catalog shows all of our latest products.,新的型錄展示了我們所有最新產品。,brochure; list,product catalog,Shopping,Intermediate
complaint,noun,抱怨；投訴,The customer made a complaint about the late delivery.,顧客對延遲配送提出投訴。,grievance; objection,file a complaint,Customer Service,Intermediate
inquiry,noun,詢問；查詢,We received an inquiry about the price of the service.,我們收到一則關於服務價格的詢問。,question; request,customer inquiry,Customer Service,Intermediate
assist,verb,協助；幫助,Our staff will assist you with the registration process.,我們的員工會協助你完成註冊流程。,help; support,assist customers,Customer Service,Basic
resolve,verb,解決,The support team resolved the issue quickly.,客服團隊很快解決了這個問題。,solve; settle,resolve a problem,Customer Service,Intermediate
representative,noun,代表；客服人員,A customer service representative will contact you soon.,一位客服代表將很快與你聯繫。,agent; staff member,sales representative,Customer Service,Intermediate
feedback,noun,回饋；意見,We appreciate your feedback about our service.,我們感謝你對我們服務的回饋。,comment; response,customer feedback,Customer Service,Basic
request,noun/verb,要求；請求,The guest requested a room with a city view.,客人要求一間有城市景觀的房間。,ask; demand,make a request,Customer Service,Basic
exchange,noun/verb,交換；更換,You may exchange the item if it is unused.,如果商品未使用，你可以更換。,replace; swap,exchange an item,Customer Service,Basic
policy,noun,政策；規定,Please read the return policy before making a purchase.,購買前請閱讀退貨政策。,rule; guideline,company policy,Customer Service,Intermediate
satisfaction,noun,滿意；滿足,Customer satisfaction is our top priority.,顧客滿意度是我們的首要目標。,contentment; approval,customer satisfaction,Customer Service,Intermediate
ability,noun,能力,The applicant has the ability to manage several projects at once.,這位應徵者有能力同時管理數個專案。,power,ability details,Business,Basic
abroad,adverb,在國外,The company plans to expand abroad next year.,公司計畫明年拓展海外市場。,afield; overseas,respond abroad,Business,Basic
absolutely,adverb,絕對地；完全地,The manager is absolutely sure that the figures are accurate.,經理完全確定這些數字是準確的。,perfectly; utterly,respond absolutely,Business,Basic
accept,verb,接受,The client decided to accept the revised proposal.,客戶決定接受修改後的提案。,take; have,accept a request,Business,Basic
access,noun,使用權；進入,Employees need a password to access the database.,員工需要密碼才能存取資料庫。,entree; accession,access details,Business,Basic
accessible,adjective,可使用的；易接近的,The new office is accessible by bus and train.,新辦公室可以搭公車和火車抵達。,approachable,accessible policy,Business,Basic
accident,noun,意外事故,The company reported the accident to the insurance provider.,公司將事故通報給保險公司。,stroke; fortuity,accident details,Business,Basic
accommodate,verb,容納；提供住宿；配合,The hotel can accommodate more than two hundred guests.,這家飯店可容納兩百多位客人。,suit; fit,accommodate a request,Business,Basic
accommodation,noun,住宿,The travel agency arranged accommodation for all participants.,旅行社為所有參加者安排住宿。,adjustment; fitting,accommodation details,Business,Basic
accomplish,verb,完成,The team hopes to accomplish the project by the end of June.,團隊希望在六月底前完成這個專案。,carry through; execute,accomplish a request,Business,Basic
accomplishment,noun,成就；完成,Completing the renovation on time was a major accomplishment.,準時完成整修是一項重大成就。,achievement; skill,accomplishment details,Business,Basic
according,preposition,根據,"According to the report, sales increased last quarter.",根據報告，上一季銷售額增加了。,harmonize; harmonise,according details,Business,Basic
accordingly,adverb,因此；相應地,"The schedule changed, and the staff adjusted their plans accordingly.",時程改變了，員工也相應地調整計畫。,consequently,respond accordingly,Business,Basic
accounting,noun,會計,Please forward the receipt to the accounting department.,請把收據轉寄給會計部門。,accountancy,accounting details,Business,Basic
accurate,adjective,準確的,The accountant checked whether the figures were accurate.,會計師檢查這些數字是否準確。,exact; precise,accurate policy,Business,Basic
achieve,verb,達成,The sales team achieved its monthly target.,銷售團隊達成了每月目標。,accomplish; attain,achieve a request,Business,Basic
acquire,verb,取得,The company plans to acquire a smaller competitor.,公司計畫收購一家較小的競爭對手。,get; assume,acquire a request,Business,Basic
act,noun,行動；法案,The safety act requires all employees to wear helmets on site.,安全法規要求所有員工在工地戴安全帽。,enactment; deed,act details,Business,Basic
actually,adverb,實際上；其實,The meeting actually ended earlier than expected.,會議實際上比預期更早結束。,really; in reality,respond actually,Business,Basic
adapt,verb,適應；調整,Employees must adapt to the new software quickly.,員工必須快速適應新軟體。,accommodate; adjust,adapt a request,Business,Basic
adapter,noun,轉接器,Please bring an adapter for your laptop charger.,請帶一個筆電充電器的轉接器。,arranger; transcriber,adapter details,Business,Basic
additional,adjective,額外的,Additional information is available on the company website.,公司網站上有額外資訊。,extra,additional policy,Business,Basic
adequate,adjective,足夠的；適當的,The warehouse has adequate space for the new inventory.,倉庫有足夠空間存放新庫存。,equal; decent,adequate policy,Business,Basic
adjust,verb,調整,Please adjust the schedule to include the training session.,請調整時程以加入訓練課程。,set; correct,adjust a request,Business,Basic
adjustment,noun,調整；調節,The price adjustment will take effect next month.,價格調整將於下個月生效。,accommodation; fitting,adjustment details,Business,Basic
administration,noun,行政；管理,The administration approved the new hiring policy.,行政部門核准了新的招募政策。,disposal; governance,administration details,Business,Basic
admire,verb,欣賞；欽佩,I admire the supervisor for her clear communication.,我欣賞那位主管清楚的溝通方式。,look up to,admire a request,Business,Basic
admit,verb,承認；准許進入,The manager admitted that the report contained an error.,經理承認報告中有一個錯誤。,acknowledge; allow in,admit a request,Business,Basic
admittance,noun,進入許可；入場權,Admittance to the conference is limited to registered guests.,研討會僅限已登記的來賓入場。,entree; access,admittance details,Business,Basic
advance,noun,提前；進展,Please notify us in advance if you need to cancel.,如果你需要取消，請提前通知我們。,progress; progression,advance details,Business,Basic
advanced,adjective,先進的；高階的,The company introduced an advanced security system.,公司導入了先進的安全系統。,forward-looking; innovative,advanced policy,Business,Basic
advantage,noun,優勢,Free shipping is an advantage of ordering online.,免運費是線上訂購的一項優勢。,vantage; reward,advantage details,Business,Basic
advantageous,adjective,有利的,The new location is advantageous for commuters.,新地點對通勤者很有利。,-,advantageous policy,Business,Basic
advertise,verb,廣告；宣傳,The store will advertise the sale in local newspapers.,這家商店將在地方報紙上宣傳特賣活動。,publicize; advertize,advertise a request,Business,Basic
advertisement,noun,廣告,The advertisement attracted many new customers.,這則廣告吸引了許多新顧客。,ad; advertizement,advertisement details,Business,Basic
advice,noun,建議,The consultant gave useful advice on reducing costs.,顧問提供了降低成本的實用建議。,-,advice details,Business,Basic
advise,verb,建議,The lawyer advised the client to review the contract carefully.,律師建議客戶仔細檢查合約。,rede; counsel,advise a request,Business,Basic
affect,verb,影響,The delay may affect the delivery schedule.,延誤可能會影響配送時程。,impact; bear upon,affect a request,Business,Basic
afford,verb,負擔得起,The company can afford to upgrade its equipment this year.,公司今年負擔得起設備升級。,yield; give,afford a request,Business,Basic
affordable,adjective,負擔得起的,The hotel offers affordable rooms for business travelers.,這家飯店為商務旅客提供價格合理的房間。,low-cost; low-priced,affordable policy,Business,Basic
agency,noun,機構；代理商,The agency helped us book flights and hotels.,旅行社協助我們預訂機票和飯店。,federal agency; government agency,agency details,Business,Basic
agenda,noun,議程,The agenda includes a discussion of next year’s budget.,議程包括討論明年的預算。,docket; schedule,meeting agenda,Office,Basic
agree,verb,同意,Both departments agreed on the new procedure.,兩個部門同意新的程序。,hold; concur,agree a request,Business,Basic
agreeable,adjective,令人愉快的；同意的,The company needs an agreeable solution for this issue.,公司需要一個令人愉快的的解決方案來處理這個問題。,accordant; conformable,agreeable policy,Business,Basic
agreement,noun,協議,The two companies signed a long-term agreement.,兩家公司簽署了一份長期協議。,understanding; correspondence,agreement details,Business,Basic
agricultural,adjective,農業的,The company needs an agricultural solution for this issue.,公司需要一個農業的的解決方案來處理這個問題。,agrarian; farming,agricultural policy,Business,Basic
aid,noun,援助；幫助,Please review the aid before the meeting.,請在會議前確認這項援助。,assistance; help,aid details,Business,Basic
aim,noun,目標；目的,Please review the aim before the meeting.,請在會議前確認這項目標。,purpose; intent,aim details,Business,Basic
airline,noun,航空公司,The airline announced a new route to Tokyo.,航空公司宣布了一條飛往東京的新航線。,air hose; airline business,airline information,Travel,Basic
aisle,noun,走道,Please review the aisle before the meeting.,請在會議前確認這項走道。,gangway,aisle details,Business,Basic
alarm,noun,警報；鬧鐘,Please review the alarm before the meeting.,請在會議前確認這項警報。,dismay; consternation,alarm details,Business,Basic
allow,verb,允許；准許,The new policy allows employees to work from home twice a week.,新政策允許員工每週在家工作兩天。,let; permit,allow a request,Business,Basic
alternative,noun,替代方案,We need an alternative supplier for this component.,我們需要這個零件的替代供應商。,option; choice,alternative details,Business,Basic
ambitious,adjective,有抱負的；有野心的,The company needs an ambitious solution for this issue.,公司需要一個有抱負的的解決方案來處理這個問題。,challenging,ambitious policy,Business,Basic
amend,verb,修正；修改,Please amend the document before Friday.,請在星期五前修正這份文件。,better; improve,amend a request,Business,Basic
amount,noun,數量；金額,The total amount must be paid within thirty days.,總金額必須在三十天內支付。,sum; sum of money,amount details,Business,Basic
analysis,noun,分析,The market analysis helped the team choose a strategy.,市場分析幫助團隊選擇策略。,analytic thinking,analysis details,Business,Basic
analyze,verb,分析,The analyst will analyze the sales data this afternoon.,分析師今天下午會分析銷售資料。,analyse; study,analyze a request,Business,Basic
announcement,noun,公告,The announcement was posted on the company website.,公告已張貼在公司網站上。,proclamation; annunciation,announcement details,Business,Basic
annual,adjective,年度的,The annual report will be published next week.,年度報告將於下週發布。,one-year; yearly,annual policy,Business,Basic
anticipate,verb,預期；預料,We anticipate higher demand during the holiday season.,我們預期假期期間需求會增加。,expect; foresee,anticipate a request,Business,Basic
anxious,adjective,焦慮的；渴望的,The company needs an anxious solution for this issue.,公司需要一個焦慮的的解決方案來處理這個問題。,dying; nervous,anxious policy,Business,Basic
apologize,verb,道歉,The representative apologized for the delayed shipment.,客服代表為出貨延遲道歉。,apologise; excuse,apologize promptly,Business,Basic
appeal,noun,吸引；申訴,The new design has strong appeal to younger customers.,新設計對年輕顧客很有吸引力。,entreaty; prayer,appeal details,Business,Basic
appetizer,noun,開胃菜,Please review the appetizer before the meeting.,請在會議前確認這項開胃菜。,appetiser; starter,appetizer details,Business,Basic
appliance,noun,電器；設備,The store offers free delivery for large appliances.,這家店為大型家電提供免費配送。,contraption; contrivance,appliance details,Business,Basic
applicant,noun,申請者；應徵者,Please review the applicant before the meeting.,請在會議前確認這項申請者。,candidate; job seeker,qualified applicant,Human Resources,Basic
application,noun,申請；申請表,Please complete the application before the deadline.,請在截止日期前完成申請表。,practical application; coating,submit an application,Business,Basic
apply,verb,申請；應用,Please apply the document before Friday.,請在星期五前申請這份文件。,use; utilize,apply a request,Business,Basic
appoint,verb,任命；安排,Please appoint the document before Friday.,請在星期五前任命這份文件。,name; nominate,appoint a request,Business,Basic
appointment,noun,預約；約定,I have an appointment with the client at 3 p.m.,我下午三點和客戶有約。,assignment; designation,make an appointment,Business,Basic
appreciate,verb,感謝；欣賞,We appreciate your prompt response to our inquiry.,我們感謝您迅速回覆我們的詢問。,take account; prize,appreciate a request,Business,Basic
appreciation,noun,感謝；欣賞,Please review the appreciation before the meeting.,請在會議前確認這項感謝。,grasp; hold,appreciation details,Business,Basic
apprentice,noun,學徒；實習生,Please review the apprentice before the meeting.,請在會議前確認這項學徒。,learner; prentice,apprentice details,Business,Basic
approach,noun,方法；接近,The manager suggested a new approach to customer service.,經理提出了一種新的客服方法。,attack; plan of attack,approach details,Business,Basic
appropriate,adjective,適當的；合適的,The company needs an appropriate solution for this issue.,公司需要一個適當的的解決方案來處理這個問題。,-,appropriate policy,Business,Basic
approve,verb,核准,The director approved the revised budget.,主管核准了修改後的預算。,O.K.; okay,approve a request,Business,Basic
approximate,adjective,大約的；近似的,The company needs an approximate solution for this issue.,公司需要一個大約的的解決方案來處理這個問題。,approximative; rough,approximate policy,Business,Basic
area,noun,地區；範圍,Please review the area before the meeting.,請在會議前確認這項地區。,country; region,area details,Business,Basic
argue,verb,爭論；主張,Please argue the document before Friday.,請在星期五前爭論這份文件。,reason; contend,argue a request,Business,Basic
argument,noun,爭論；論點,Please review the argument before the meeting.,請在會議前確認這項爭論。,statement; controversy,argument details,Business,Basic
arrange,verb,安排,The assistant arranged transportation for the visitors.,助理為訪客安排交通。,set up; fix up,arrange a request,Business,Basic
arrangement,noun,安排,Please review the arrangement before the meeting.,請在會議前確認這項安排。,agreement; organization,arrangement details,Business,Basic
assemble,verb,組裝；集合,Please assemble the document before Friday.,請在星期五前組裝這份文件。,piece; put together,assemble a request,Business,Basic
assess,verb,評估,The supervisor will assess each employee’s performance.,主管將評估每位員工的表現。,measure; evaluate,assess a request,Business,Basic
assets,noun,資產,Please review the assets before the meeting.,請在會議前確認這項資產。,asset; plus,assets details,Business,Basic
assign,verb,分派,The manager assigned the task to a new team member.,經理將任務分派給一位新團隊成員。,delegate; designate,assign a request,Business,Basic
assignment,noun,任務；作業,Please review the assignment before the meeting.,請在會議前確認這項任務。,duty assignment; assigning,assignment details,Business,Basic
assist,verb,協助,A receptionist will assist you at the front desk.,接待員會在櫃台協助您。,help; aid,assist a request,Business,Basic
assistance,noun,協助,Please review the assistance before the meeting.,請在會議前確認這項協助。,aid; assist,assistance details,Business,Basic
assume,verb,假設；承擔,We assume the order will arrive by Friday.,我們假設訂單會在星期五前抵達。,presume; take for granted,assume a request,Business,Basic
attach,verb,附上,Please attach the file to your email.,請將檔案附在電子郵件中。,-,attach a request,Business,Basic
attachment,noun,附件,Please review the attachment before the meeting.,請在會議前確認這項附件。,fond regard,attachment details,Business,Basic
attend,verb,出席,All employees must attend the safety training.,所有員工都必須參加安全訓練。,go to; take care,attend a request,Business,Basic
attendance,noun,出席,Please review the attendance before the meeting.,請在會議前確認這項出席。,attending,attendance details,Business,Basic
attentively,adverb,專心地；注意地,The staff handled the request attentively.,員工以專心地的方式處理這項請求。,-,respond attentively,Business,Basic
attract,verb,吸引,The promotion attracted many first-time shoppers.,這項促銷吸引了許多首次購物的顧客。,pull; pull in,attract a request,Business,Basic
audience,noun,觀眾；聽眾,Please review the audience before the meeting.,請在會議前確認這項觀眾。,hearing,audience details,Business,Basic
audit,noun,稽核；審計,The company will conduct an audit in September.,公司將在九月進行稽核。,audited account,audit details,Business,Basic
authority,noun,權限；主管機關,Please review the authority before the meeting.,請在會議前確認這項權限。,authorization; authorisation,authority details,Business,Basic
authorize,verb,授權,Only managers can authorize large purchases.,只有經理可以授權大額採購。,authorise; pass,authorize a request,Business,Basic
availability,noun,可取得性,Please review the availability before the meeting.,請在會議前確認這項可取得性。,handiness; accessibility,availability details,Business,Basic
available,adjective,可取得的；有空的,The product is available at all branch stores.,這項產品在所有分店都有販售。,uncommitted; usable,available policy,Business,Basic
avoid,verb,避免,Please avoid scheduling meetings during lunch hours.,請避免在午餐時間安排會議。,debar; forefend,avoid a request,Business,Basic
awareness,noun,意識,Please review the awareness before the meeting.,請在會議前確認這項意識。,consciousness; cognizance,awareness details,Business,Basic
background,noun,背景,The report provides background information on the project.,這份報告提供專案的背景資訊。,ground; background knowledge,background details,Business,Basic
backpack,noun,背包,Please review the backpack before the meeting.,請在會議前確認這項背包。,back pack; knapsack,backpack details,Business,Basic
baggage,noun,行李,Passengers may collect their baggage at carousel six.,乘客可以在六號轉盤領取行李。,luggage,baggage information,Travel,Basic
balance,noun,餘額；平衡,Please check the balance in your account.,請查看您帳戶中的餘額。,proportion; proportionality,balance details,Business,Basic
bank,noun,銀行,The bank approved the company’s loan application.,銀行核准了公司的貸款申請。,banking concern; banking company,bank details,Business,Basic
bankrupt,adjective,破產的,The company needs a bankrupt solution for this issue.,公司需要一個破產的的解決方案來處理這個問題。,belly-up,bankrupt policy,Business,Basic
barcode,noun,條碼,Please review the barcode before the meeting.,請在會議前確認這項條碼。,-,barcode details,Business,Basic
bargain,noun,特價品；議價,The laptop was a real bargain during the sale.,這台筆電在特賣期間真的很划算。,deal; buy,bargain details,Business,Basic
basic,adjective,基本的；基礎的,The company needs a basic solution for this issue.,公司需要一個基本的的解決方案來處理這個問題。,canonic; canonical,basic policy,Business,Basic
behave,verb,表現；守規矩,Please behave the document before Friday.,請在星期五前表現這份文件。,act; do,behave a request,Business,Basic
belongings,noun,個人物品；財物,Please review the belongings before the meeting.,請在會議前確認這項個人物品。,property; holding,belongings details,Business,Basic
beneficial,adjective,有益的,The company needs a beneficial solution for this issue.,公司需要一個有益的的解決方案來處理這個問題。,good,beneficial policy,Business,Basic
benefit,noun,福利；好處,The new policy will benefit both employees and customers.,新政策將使員工和顧客都受益。,welfare,benefit details,Business,Basic
beverage,noun,飲料,Please review the beverage before the meeting.,請在會議前確認這項飲料。,drink; drinkable,beverage details,Business,Basic
bid,noun,出價；投標,Please review the bid before the meeting.,請在會議前確認這項出價。,command; bidding,bid details,Business,Basic
bill,noun,帳單,The customer paid the bill by credit card.,顧客用信用卡支付帳單。,measure; account,bill details,Business,Basic
binder,noun,活頁夾,Please review the binder before the meeting.,請在會議前確認這項活頁夾。,reaper binder; ring-binder,binder details,Business,Basic
blanket,noun,毯子；毛毯,Please review the blanket before the meeting.,請在會議前確認這項毯子。,cover; mantle,blanket details,Business,Basic
block,noun,街區；阻擋,Please review the block before the meeting.,請在會議前確認這項街區。,city block; cube,block details,Business,Basic
board,noun,董事會；登機,Please review the board before the meeting.,請在會議前確認這項董事會。,plank,board details,Business,Basic
boarding,noun,登機,Please review the boarding before the meeting.,請在會議前確認這項登機。,embarkation; embarkment,boarding pass,Business,Basic
boardroom,noun,董事會議室,Please review the boardroom before the meeting.,請在會議前確認這項董事會議室。,council chamber,boardroom details,Business,Basic
book,noun,預訂；書,Please review the book before the meeting.,請在會議前確認這項預訂。,volume; record,book details,Business,Basic
boost,noun,提升；增加,Please review the boost before the meeting.,請在會議前確認這項提升。,encouragement; rise,boost details,Business,Basic
borrow,verb,借入,Please borrow the document before Friday.,請在星期五前借入這份文件。,adopt; take over,borrow a request,Business,Basic
bother,noun,打擾；麻煩,Please review the bother before the meeting.,請在會議前確認這項打擾。,fuss; trouble,bother details,Business,Basic
bottom,noun,底部；底端,Please review the bottom before the meeting.,請在會議前確認這項底部。,underside; undersurface,bottom details,Business,Basic
branch,noun,分店；分公司,The company opened a new branch downtown.,公司在市中心開了一家新分店。,subdivision; arm,branch details,Business,Basic
brand,noun,品牌,Please review the brand before the meeting.,請在會議前確認這項品牌。,trade name; brand name,brand details,Business,Basic
briefcase,noun,公事包,Please review the briefcase before the meeting.,請在會議前確認這項公事包。,-,briefcase details,Business,Basic
briefing,noun,簡報會,Please review the briefing before the meeting.,請在會議前確認這項簡報會。,-,briefing details,Business,Basic
broadcast,noun,廣播；播送,Please review the broadcast before the meeting.,請在會議前確認這項廣播。,program; programme,broadcast details,Business,Basic
broaden,verb,擴大；拓展,Please broaden the document before Friday.,請在星期五前擴大這份文件。,widen; extend,broaden a request,Business,Basic
browser,noun,瀏覽器,Please review the browser before the meeting.,請在會議前確認這項瀏覽器。,web browser,browser details,Business,Basic
budget,noun,預算,The manager reviewed the annual budget with the finance team.,經理和財務團隊檢視了年度預算。,-,annual budget,Business,Basic
bulletin,noun,公告,Please review the bulletin before the meeting.,請在會議前確認這項公告。,-,bulletin details,Business,Basic
cabin,noun,機艙；小屋,Please review the cabin before the meeting.,請在會議前確認這項機艙。,-,cabin details,Business,Basic
cafeteria,noun,自助餐廳,Please review the cafeteria before the meeting.,請在會議前確認這項自助餐廳。,-,cafeteria details,Business,Basic
calculate,verb,計算,Please calculate the document before Friday.,請在星期五前計算這份文件。,cipher; cypher,calculate a request,Business,Basic
calculation,noun,計算,Please review the calculation before the meeting.,請在會議前確認這項計算。,computation; computing,calculation details,Business,Basic
calculator,noun,計算機,Please review the calculator before the meeting.,請在會議前確認這項計算機。,reckoner; figurer,calculator details,Business,Basic
campaign,noun,活動；行銷活動,Please review the campaign before the meeting.,請在會議前確認這項活動。,political campaign; run,campaign details,Business,Basic
cancel,verb,取消,Please cancel the document before Friday.,請在星期五前取消這份文件。,call off; scratch,cancel a request,Business,Basic
cancellation,noun,取消,Please review the cancellation before the meeting.,請在會議前確認這項取消。,-,cancellation details,Business,Basic
candidacy,noun,候選資格,Please review the candidacy before the meeting.,請在會議前確認這項候選資格。,campaigning; candidature,candidacy details,Business,Basic
candidate,noun,候選人；應徵者,The candidate has five years of sales experience.,這位候選人有五年的銷售經驗。,campaigner; nominee,candidate information,Human Resources,Basic
capacity,noun,容量；能力,The conference room has a capacity of fifty people.,這間會議室可容納五十人。,capability; content,capacity details,Business,Basic
capital,noun,資本；首都,Please review the capital before the meeting.,請在會議前確認這項資本。,working capital,capital details,Business,Basic
career,noun,職涯,Please review the career before the meeting.,請在會議前確認這項職涯。,calling; vocation,career details,Business,Basic
cash,noun,現金,Please review the cash before the meeting.,請在會議前確認這項現金。,hard cash; hard currency,cash details,Business,Basic
cashier,noun,收銀員,The cashier gave the customer a receipt.,收銀員給了顧客一張收據。,teller; bank clerk,cashier information,Shopping,Basic
cautious,adjective,小心的；謹慎的,The company needs a cautious solution for this issue.,公司需要一個小心的的解決方案來處理這個問題。,conservative,cautious policy,Business,Basic
celebrate,verb,慶祝,Please celebrate the document before Friday.,請在星期五前慶祝這份文件。,observe; keep,celebrate a request,Business,Basic
celebration,noun,慶祝活動,Please review the celebration before the meeting.,請在會議前確認這項慶祝活動。,jubilation; festivity,celebration details,Business,Basic
certificate,noun,證書,Participants will receive a certificate after the workshop.,參加者在工作坊後會收到證書。,certification; credential,certificate details,Business,Basic
